Inserções,Tempo Inserção,Buscas,Tempo Busca,Nós Trie,Espaço Aprox. (kB)
1000000,4.596,5000,0.007,43179228,1012013.16
1000000,4.457,10000,0.015,43179228,1012013.16
1000000,4.152,50000,0.078,43179228,1012013.16
1000000,4.697,100000,0.184,43179228,1012013.16
1000000,4.719,500000,1.069,43179228,1012013.16
1000000,4.723,1000000,2.279,43179228,1012013.16
