5000,0.022,5000,0.003,254189,5957.55
10000,0.043,10000,0.007,498522,11684.11
50000,0.216,50000,0.046,2378815,55753.48
100000,0.442,100000,0.104,4660948,109240.97
500000,1.636,500000,0.970,11873114,278276.11
1000000,2.575,1000000,1.916,11873114,278276.11
