Inserções,Tempo Inserção,Buscas,Tempo Busca,Nós Trie,Espaço Aprox. (kB)
5000,0.015,5000,0.007,128310,5012.11
10000,0.027,5000,0.006,251641,9829.73
50000,0.136,5000,0.007,1199878,46870.23
100000,0.276,5000,0.007,2349947,91794.80
500000,1.398,5000,0.006,11169378,436303.83
1000000,2.728,5000,0.006,21839137,853091.29
